,datetime,open,close,high,low,volume,openinterest
18520,20210514  14:30,583.4,584.4,584.58,583.4,1790,
18521,20210514  14:35,584.48,583.84,584.71,583.83,1765,
18522,20210514  14:40,583.8,587.56,587.59,583.8,2566,
18523,20210514  14:45,587.55,586.53,587.7,585.52,2537,
18524,20210514  14:50,586.5,589.23,589.23,585.84,2760,
18525,20210514  14:55,589.23,588.03,589.53,587.49,2339,
18526,20210514  15:00,588.1,586.69,588.43,585.2,2638,
18527,20210514  15:05,586.66,586.65,587.95,585.78,2243,
18528,20210514  15:10,586.65,588.18,588.44,585.8,1889,
18529,20210514  15:15,588.02,589.87,591.45,588.0,4230,
18530,20210514  15:20,589.8,587.8,590.75,587.8,2425,
18531,20210514  15:25,587.88,588.94,589.32,587.46,2095,
18532,20210514  15:30,588.86,588.17,590.4,587.26,2860,
18533,20210514  15:35,588.22,588.27,588.79,586.65,1910,
18534,20210514  15:40,588.25,588.08,588.37,586.84,1725,
18535,20210514  15:45,588.01,589.33,590.34,587.84,3211,
18536,20210514  15:50,589.27,590.48,591.17,588.75,3930,
18537,20210514  15:55,590.55,589.72,590.96,589.5,4784,
18538,20210514  16:00,589.53,589.96,590.07,589.14,5492,
18539,20210514  16:05,590.0,590.02,590.27,589.95,190,
18540,20210514  16:10,590.0,590.0,590.1,589.57,191,
18541,20210514  16:15,589.77,590.0,590.05,589.5,142,
18542,20210514  16:20,589.98,590.08,590.21,589.9,63,
18543,20210514  16:25,590.1,589.91,590.11,589.74,71,
18544,20210514  16:30,589.92,590.04,590.08,589.74,46,
18545,20210514  16:35,590.07,590.03,590.11,590.0,68,
18546,20210514  16:40,590.07,589.96,590.07,589.9,21,
18547,20210514  16:45,590.0,590.05,590.05,589.9,23,
18548,20210514  16:50,589.92,589.8,589.92,589.8,28,
18549,20210514  16:55,589.79,589.99,589.99,589.25,25,
18550,20210514  17:00,589.5,589.4,589.68,589.14,17,
18551,20210514  17:05,589.73,589.7,590.0,589.7,32,
18552,20210514  17:10,589.7,589.96,589.96,589.7,5,
18553,20210514  17:15,589.99,590.19,590.19,589.95,36,
18554,20210514  17:20,590.19,590.2,590.55,590.19,38,
18555,20210514  17:25,590.06,590.6,590.6,590.05,11,
18556,20210514  17:30,590.55,591.18,591.49,590.55,67,
18557,20210514  17:35,591.25,594.0,594.0,591.25,83,
18558,20210514  17:40,594.5,594.15,595.0,594.15,91,
18559,20210514  17:45,593.31,594.05,594.45,593.31,24,
18560,20210514  17:50,593.9,594.0,594.0,593.5,16,
18561,20210514  17:55,594.15,593.8,594.15,593.75,22,
18562,20210514  18:00,593.96,594.01,594.29,593.9,34,
18563,20210514  18:05,594.0,594.0,594.0,593.55,6,
18564,20210514  18:10,593.5,592.9,593.55,592.9,13,
18565,20210514  18:15,593.0,593.5,593.6,593.0,14,
18566,20210514  18:20,593.5,593.92,594.0,593.26,8,
18567,20210514  18:25,593.9,593.98,593.98,593.51,16,
18568,20210514  18:30,593.98,593.55,594.35,593.5,48,
18569,20210514  18:35,593.51,593.63,594.0,593.5,7,
18570,20210514  18:40,593.99,593.78,593.99,593.65,8,
18571,20210514  18:45,593.5,593.99,593.99,593.5,8,
18572,20210514  18:50,593.78,593.5,593.95,593.5,15,
18573,20210514  18:55,593.95,593.65,593.95,593.6,10,
18574,20210514  19:00,593.86,594.04,594.04,593.56,67,
18575,20210514  19:05,594.3,593.7,594.7,593.7,105,
18576,20210514  19:10,593.95,594.5,594.5,593.95,31,
18577,20210514  19:15,594.47,594.1,594.47,594.0,9,
18578,20210514  19:20,594.3,594.53,595.98,594.3,130,
18579,20210514  19:25,595.18,598.0,598.5,594.61,95,
18580,20210514  19:30,598.1,597.25,598.39,597.25,27,
18581,20210514  19:35,597.11,596.89,597.7,596.25,19,
18582,20210514  19:40,597.0,596.0,598.0,595.9,85,
18583,20210514  19:45,596.0,596.01,597.0,595.98,30,
18584,20210514  19:50,596.06,597.37,597.37,596.06,99,
18585,20210514  19:55,598.0,598.0,598.88,598.0,81,
18586,20210517  04:00,589.74,588.39,593.0,585.8,43,
18587,20210517  04:05,588.35,586.2,588.39,586.2,10,
18588,20210517  04:10,586.3,580.5,587.1,580.5,80,
18589,20210517  04:15,582.0,579.99,582.0,579.1,78,
18590,20210517  04:20,579.99,580.5,581.99,579.99,74,
18591,20210517  04:25,579.6,580.47,580.47,578.39,79,
18592,20210517  04:30,579.6,581.85,581.85,579.6,49,
18593,20210517  04:35,581.0,581.0,581.0,581.0,2,
18594,20210517  04:40,582.5,584.0,584.0,582.3,9,
18595,20210517  04:45,583.75,583.0,583.75,583.0,4,
18596,20210517  04:50,584.2,585.5,586.02,584.2,15,
18597,20210517  04:55,584.5,584.82,584.82,584.5,5,
18598,20210517  05:00,584.99,584.02,584.99,584.02,6,
18599,20210517  05:05,584.05,583.2,584.05,583.2,5,
18600,20210517  05:10,583.2,583.2,583.2,583.2,0,
18601,20210517  05:15,583.39,584.74,584.74,583.39,7,
18602,20210517  05:20,583.2,583.87,584.0,583.2,5,
18603,20210517  05:25,583.87,583.87,583.87,583.87,0,
18604,20210517  05:30,584.2,584.2,584.2,584.2,19,
18605,20210517  05:35,584.2,584.2,584.2,584.2,0,
18606,20210517  05:40,584.2,584.2,584.2,584.2,0,
18607,20210517  05:45,583.99,584.0,584.0,583.99,4,
18608,20210517  05:50,583.6,582.05,583.6,582.0,28,
18609,20210517  05:55,582.05,582.05,582.05,582.05,0,
18610,20210517  06:00,582.25,582.0,582.25,581.7,10,
18611,20210517  06:05,582.01,581.5,582.06,581.22,21,
18612,20210517  06:10,581.0,581.0,581.0,581.0,9,
18613,20210517  06:15,580.72,579.5,580.72,579.5,38,
18614,20210517  06:20,579.63,578.0,580.0,578.0,25,
18615,20210517  06:25,578.36,580.0,580.0,578.36,30,
18616,20210517  06:30,580.18,581.0,581.0,580.18,14,
18617,20210517  06:35,581.0,581.0,581.0,581.0,0,
18618,20210517  06:40,580.4,580.4,580.4,580.4,3,
18619,20210517  06:45,580.42,580.04,580.5,580.04,8,
18620,20210517  06:50,580.8,581.23,581.23,580.8,5,
18621,20210517  06:55,580.68,580.08,580.68,580.08,19,
18622,20210517  07:00,580.68,582.2,583.0,579.31,154,
18623,20210517  07:05,582.0,581.6,582.0,581.13,53,
18624,20210517  07:10,581.6,582.0,582.37,581.6,17,
18625,20210517  07:15,582.4,582.6,582.6,582.0,18,
18626,20210517  07:20,582.8,581.85,583.3,581.13,74,
18627,20210517  07:25,581.5,581.11,581.5,580.41,30,
18628,20210517  07:30,580.34,580.5,581.0,580.1,39,
18629,20210517  07:35,580.8,581.45,581.45,580.7,165,
18630,20210517  07:40,581.35,581.0,581.35,580.98,77,
18631,20210517  07:45,580.53,580.08,580.53,579.52,201,
18632,20210517  07:50,579.95,579.5,580.0,579.5,38,
18633,20210517  07:55,579.97,578.22,580.0,578.22,114,
18634,20210517  08:00,578.22,579.0,583.0,578.0,328,
18635,20210517  08:05,578.7,578.6,579.0,578.12,28,
18636,20210517  08:10,579.0,578.1,579.0,578.05,57,
18637,20210517  08:15,578.05,577.5,578.24,577.0,132,
18638,20210517  08:20,577.6,577.44,577.71,577.27,69,
18639,20210517  08:25,577.5,577.0,577.5,576.5,58,
18640,20210517  08:30,576.9,577.0,577.71,576.5,35,
18641,20210517  08:35,577.0,578.8,579.35,576.82,97,
18642,20210517  08:40,578.5,579.0,579.0,577.6,53,
18643,20210517  08:45,579.12,577.75,579.3,577.54,58,
18644,20210517  08:50,577.5,578.7,579.3,577.44,147,
18645,20210517  08:55,578.58,577.96,578.58,577.5,52,
18646,20210517  09:00,577.5,579.0,579.47,577.15,108,
18647,20210517  09:05,579.19,579.73,580.49,578.62,56,
18648,20210517  09:10,579.76,579.56,580.47,579.11,94,
18649,20210517  09:15,580.0,580.97,580.99,579.75,88,
